,Date,YSI_Temp,YSI_Salinity,YSI_DO,YSI_pH,POC,NOx,NH4,PO4,TotalChla,Distance,Fall,Spring,Summer,Winter,Station_0,Station_100,Station_120,Station_140,Station_160,Station_180,Station_20,Station_30,Station_50,Station_60,Station_70,Depth_1,Depth_2,Month_1,Month_10,Month_11,Month_12,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,WDIR,WSPD,PRES,ATMP,ACC_WSPD_2,ACC_PRES_3,ACC_ATMP_5,flow (cfs),ACC_FLOW_5
0,1999-01-05,8.71,7.9,9.41,7.39,1332.6,274.95,48.32,7.62,1.7927213,19.321117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.16308857,149.3394377,1027.9625,1.079166667,329.0856355,3060.7875,43.17318841,3990.0,20310.0
1,1999-01-19,10.08,0.5,9.26,7.66,1513.0,716.92,140.89,22.69,1.9595349069999999,19.321117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.4325148,114.92731780000001,1020.608333,12.97083333,168.7742,3071.90625,50.52219203,4690.0,20060.0
2,1999-02-02,11.545333333333334,8.713333333333335,1.2799999999999994,6.745333333333333,614.0133333333333,177.7986666666667,306.48199999999997,21.112666666666666,0.6701144890266666,19.321117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06666666666666665,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.305277,203.56519509999998,1019.554167,17.45,388.5054955,3101.7,53.09166666,14100.0,71300.0
3,1999-02-16,10.67,2.7,8.5,6.99,982.0,391.8,145.32,17.1,3.2801576239999997,19.321117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.63878390000002,95.57606289,1025.758333,11.84166667,301.339863,3077.216667,53.38333333,3330.0,26310.0
4,1999-03-02,9.99,3.8,9.32,7.28,1263.9,389.86,52.45,12.6,4.6574017439999995,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.05350878,54.07307804,1013.8375,9.970833333,352.02326339999996,3035.4208329999997,46.53333333,3090.0,16810.0
5,1999-03-16,9.196666666666667,3.8,9.301333333333334,7.429333333333334,1293.9533333333331,157.80533333333332,39.94333333333333,6.888,5.4126377219999995,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.57792737,86.44368617,1020.0375,7.4625,269.2360452,3042.0375,43.49166667,2560.0,12150.0
6,1999-03-30,13.038125,0.4125,8.985,7.1049999999999995,1689.3125,153.46909375,48.040630823437496,6.471808125,14.831534199375,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.0,0.0,0.0,0.0,24.32344544,97.55028236,1025.591667,14.57083333,176.3403291,3057.475,55.3875,4270.0,19240.0
7,1999-04-13,17.631875,1.9875,7.095,7.315,1618.0875,170.25640625,59.5294623515625,23.437121875000003,11.408995770625,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,-27.59494215,163.6348626,1016.175,13.57916667,228.3772466,3036.158333,90.90416666,2900.0,17340.0
8,1999-04-27,19.937142857142856,1.2428571428571429,8.442857142857143,7.208571428571428,1528.542857142857,341.1571428571429,12.160714285714285,28.24758762755102,12.986162508285714,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.0,-3.8335380860000003,49.79239942,1015.05,18.425,267.2298092,3062.025,89.62083334,1480.0,8430.0
9,1999-05-11,16.390666666666664,10.613333333333333,1.5846666666666667,6.482,1301.2266666666667,76.39793702095238,22.152,25.48181166666667,8.149863010266667,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.99740025,145.0231257,1021.070833,18.74166667,137.8320736,3051.095833,101.7166667,2010.0,12690.0
10,1999-05-25,23.68,6.6,6.97,7.49,1860.2,146.7890553142857,16.3,10.86,14.16321461,19.321117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-143.80591030000002,71.79846009999999,1013.4,22.29583333,350.55145239999996,3048.445834,105.71068840000001,1550.0,8020.0
11,1999-06-08,25.31142857142857,7.885714285714286,3.6085714285714285,7.446428571428571,2031.6142857142859,110.11305478857143,8.338571428571429,9.362142857142857,10.596021972857143,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-133.56485320000002,141.37133980000002,1019.2,24.72083333,134.4806571,3071.704166,117.71666670000002,625.0,3500.0
12,1999-06-22,23.33,10.126666666666667,2.8000000000000003,7.161333333333333,1689.7666666666667,5.231405105555555,13.022666666666666,14.54,16.262490448666668,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,4.380777803,173.866008,1018.645833,20.89583333,175.33807130000002,3063.504166,109.62916670000001,1700.0,8540.0
13,1999-07-06,28.09,7.7,2.66,7.46,3353.2,70.77107658333333,13.34,19.3,16.75360427,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-126.53021340000001,147.99873300000002,1016.5875,26.80416667,260.95439780000004,3067.5791670000003,129.9958333,839.0,4693.0
14,1999-07-20,26.972142857142856,11.264285714285714,0.9850000000000001,7.118571428571429,3464.6357142857146,68.37906343214286,14.541428571428572,69.39928571428571,7.389575901714285,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,-119.707479,154.44033180000002,1017.091667,27.4,228.72800550000002,3065.041667,129.0625,1490.0,8950.0
15,1999-08-03,28.741333333333333,15.826666666666666,0.36733333333333335,7.256,1495.3533333333335,37.28289246666667,18.040353333333332,226.32466666666667,8.1523507112,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.96306665,193.5062459,1013.7304349999999,26.35217391,142.13636090000003,3029.733334,144.8458333,616.0,5061.0
16,1999-08-17,29.46,13.4,3.55,7.62,1637.5,37.28289246666667,15.8053,73.79,13.39167619,19.321117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,158.2134368,38.48426384,1019.516667,26.84583333,67.25825294,3047.979167,136.8416667,1050.0,3564.0
